Tag	Perf_Norm	Window_Power
443	1.0023021834	119.445302
444	0.998083105	119.471327
445	0.9926619711	119.545098
446	0.9919543931	119.583687
447	0.9888118095	119.639999
448	0.9864452825	119.638379
449	1.007477003	119.980568
450	1.0076755807	120.035058
451	1.0079514447	120.078008
452	1.0109259415	120.03653
453	1.0112631908	119.861643
454	1.0157304324	119.676608
455	1.0143308749	119.562222
456	1.0060542831	119.362339
457	1.0047454252	119.317269
458	1.0017532457	119.181438
459	1.0072014752	119.082079
460	1.0056665742	118.977249
461	1.0075887807	118.94726
462	1.0055948348	118.95602
463	1.0054682991	118.915607
464	1.0016809684	119.010809
465	1.0106602636	119.03042
466	1.0089396604	119.063481
467	1.004182301	119.188945
468	1.0021012861	119.207642
469	1.0035221907	119.302071
470	1.0037043631	119.403251
471	1.010954449	119.595351
472	1.0114240834	119.640235
473	1.0148740304	119.621116
474	0.9932008236	119.365452
475	1.0006589673	119.306474
476	1.0016549822	119.326224
477	1.0092084647	119.28111
478	1.0097029423	119.318309
479	1.0065184715	119.34246
480	1.0090041384	119.397997
481	1.0087652872	119.422446
482	1.0118235248	119.57479
483	1.0104850163	119.628121
484	1.0074038853	119.661548
485	1.008455705	119.692647
486	1.0151939331	119.692691
487	1.0129238543	119.71913
488	1.0115696802	119.788629
489	1.0107296498	119.808711
490	1.0100424439	119.822637
491	1.0114366227	119.899322
492	1.0259193135	119.985731
493	1.0300392207	119.989172
494	1.030450966	119.977805
495	1.0298600066	119.931111
496	1.0474054734	119.845918
497	1.0361230535	119.524216
498	1.0220887845	119.438984
499	1.0217130098	119.425499
500	1.0129753224	119.476126
501	1.013917953	119.468432
502	1.0196506861	119.45713
503	1.0155460749	119.488815
504	1.0115480642	119.585373
505	1.0165322062	119.650937
506	1.0132404289	119.721784
507	1.0132684994	119.772504
508	1.008820823	119.825333
509	0.9998115411	120.079891
510	1.0118040267	120.468867
511	1.0071670175	120.540111
512	1.0033593818	120.629862
513	1.0225184815	120.939971
514	1.0178839935	120.940641
515	1.0162108916	120.940872
516	1.0181529996	120.935453
517	1.0145299568	120.932955
518	1.0132805008	120.943191
519	1.0054086619	121.011445
520	0.9954851562	121.105477
521	1.0029693197	121.370977
522	1.0064225612	121.556213
523	1.008476615	121.704703
524	0.9994317323	121.849118
525	1.0034439295	121.928501
526	1.0062855033	122.129179
527	1.0071195498	122.215781
